"Id","MSSubClass","MSZoning","LotFrontage","LotArea","LotShape","LotConfig","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","FirstFlrSF","SecFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","ScreenPorchSF","PoolArea","MiscVal","MoSold","YrSold","SaleCondition","SalePrice","HomeAge","RemodAge","idxhasG","idxhasMV","idxhasFB1","idxhasFB2","idxhasB","idxhasSF","idxhasPool","idxhasLF","idxhasLQF","idxhasWD","idxhasOP","idxhasEP","idxhasSP","idxisOld","idxhasRem","idxisNew"
11,20,"RL",70,9.32366906621176,"Reg","Inside","Sawyer","Norm","1Fam","1Story",5,5,1965,1965,"Hip","HdBoard","HdBoard","None",-9.21034037197618,"TA","TA","CBlock","TA","TA","No","Rec",6.80903941641825,"Unf",0,134,6.94697608828926,"GasA","Ex","Y","SBrkr",6.94697608828926,-9.21034037197618,0,6.94697608828926,1,0,1,0,3,1,"TA",5,0,"None","Detchd",1965,"Unf",1,384,"TA","TA","Y",-9.21034037197618,-9.21034037197618,0,0,0,-9.21034037197618,2,2008,"Normal",11.7714361608939,43,43,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
12,60,"RL",85,9.38630846318441,"IR1","Inside","NridgHt","Norm","1Fam","2Story",9,5,2005,2006,"Hip","WdShing","Wd Shng","Stone",5.65599216047014,"Ex","TA","PConc","Ex","TA","No","GLQ",6.90575337651186,"Unf",0,177,7.06902351168464,"GasA","Ex","Y","SBrkr",7.07496328256841,7.04053647778163,0,7.75104516100106,1,0,3,0,4,1,"Ex",11,2,"Gd","BuiltIn",2005,"Fin",3,736,"TA","TA","Y",4.99043326705061,3.04452719961685,0,0,0,-9.21034037197618,7,2006,"Partial",12.7512996963034,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1
13,20,"RL",0,9.4702400711268,"IR2","Inside","Sawyer","Norm","1Fam","1Story",5,6,1962,1962,"Hip","HdBoard","Plywood","None",-9.21034037197618,"TA","TA","CBlock","TA","TA","No","ALQ",6.60258802787454,"Unf",0,175,6.81564009972345,"GasA","TA","Y","SBrkr",6.81564009972345,-9.21034037197618,0,6.81564009972345,1,0,1,0,2,1,"TA",4,0,"None","Detchd",1962,"Unf",1,352,"TA","TA","Y",4.94164313689476,-9.21034037197618,0,176,0,-9.21034037197618,9,2008,"Normal",11.8775685792526,46,46,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0
14,20,"RL",91,9.27350295632173,"IR1","Inside","CollgCr","Norm","1Fam","1Story",7,5,2006,2007,"Gable","VinylSd","VinylSd","Stone",5.72358542874971,"Gd","TA","PConc","Gd","TA","Av","Unf",-9.21034037197618,"Unf",0,1494,7.30921243262716,"GasA","Ex","Y","SBrkr",7.30921243262716,-9.21034037197618,0,7.30921243262716,0,0,2,0,3,1,"Gd",7,1,"Gd","Attchd",2006,"RFn",3,840,"TA","TA","Y",5.07517444023363,3.49651059176492,0,0,0,-9.21034037197618,8,2007,"Partial",12.5407575719351,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1
15,20,"RL",0,9.2983512584564,"IR1","Corner","NAmes","Norm","1Fam","1Story",6,5,1960,1960,"Hip","MetalSd","MetalSd","BrkFace",5.35658674637001,"TA","TA","CBlock","TA","TA","No","BLQ",6.59714583831229,"Unf",0,520,7.13329603470453,"GasA","TA","Y","SBrkr",7.13329603470453,-9.21034037197618,0,7.13329603470453,1,0,1,1,2,1,"TA",5,1,"Fa","Attchd",1960,"RFn",1,352,"TA","TA","Y",-9.21034037197618,5.36129263519288,176,0,0,-9.21034037197618,5,2008,"Normal",11.9640010849674,48,48,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0
16,45,"RM",51,8.71931739184624,"Reg","Corner","BrkSide","Norm","1Fam","1.5Unf",7,8,1929,2001,"Gable","Wd Sdng","Wd Sdng","None",-9.21034037197618,"TA","TA","BrkTil","TA","TA","No","Unf",-9.21034037197618,"Unf",0,832,6.72383256101351,"GasA","Ex","Y","FuseA",6.74993131088458,-9.21034037197618,0,6.74993131088458,0,0,1,0,2,1,"TA",5,0,"None","Detchd",1991,"Unf",2,576,"TA","TA","Y",3.87120309423905,4.71849976415184,0,0,0,-9.21034037197618,7,2007,"Normal",11.7905572023261,78,6,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0
17,20,"RL",0,9.3273230963578,"IR1","CulDSac","NAmes","Norm","1Fam","1Story",6,7,1970,1970,"Gable","Wd Sdng","Wd Sdng","BrkFace",5.19295740644561,"TA","TA","CBlock","TA","TA","No","ALQ",6.35957404168274,"Unf",0,426,6.91174739985326,"GasA","Ex","Y","SBrkr",6.91174739985326,-9.21034037197618,0,6.91174739985326,1,0,1,0,2,1,"TA",5,1,"TA","Attchd",1970,"Fin",2,480,"TA","TA","Y",-9.21034037197618,-9.21034037197618,0,0,0,6.55108047790054,3,2010,"Normal",11.9117015855987,40,40,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
18,90,"RL",72,9.28646774163072,"Reg","Inside","Sawyer","Norm","Duplex","1Story",4,5,1967,1967,"Gable","MetalSd","MetalSd","None",-9.21034037197618,"TA","TA","Slab","None","None","None","None",-9.21034037197618,"None",0,0,-9.21034037197618,"GasA","TA","Y","SBrkr",7.16703795407271,-9.21034037197618,0,7.16703795407271,0,0,2,0,2,2,"TA",6,0,"None","CarPort",1967,"Unf",2,516,"TA","TA","Y",-9.21034037197618,-9.21034037197618,0,0,0,6.21460829842217,10,2006,"Normal",11.4075649504235,39,39,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
19,20,"RL",66,9.52478608899911,"Reg","Inside","SawyerW","RRAe","1Fam","1Story",5,5,2004,2004,"Gable","VinylSd","VinylSd","None",-9.21034037197618,"TA","TA","PConc","TA","TA","No","GLQ",6.47079965858135,"Unf",0,468,7.01571251025383,"GasA","Ex","Y","SBrkr",7.01571251025383,-9.21034037197618,0,7.01571251025383,1,0,1,1,3,1,"Gd",6,0,"None","Detchd",2004,"Unf",2,576,"TA","TA","Y",-9.21034037197618,4.62497379367595,0,0,0,-9.21034037197618,6,2008,"Normal",11.9766594818313,4,4,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
20,20,"RL",70,8.93062648240109,"Reg","Inside","NAmes","Norm","1Fam","1Story",5,6,1958,1965,"Hip","BrkFace","Plywood","None",-9.21034037197618,"TA","TA","CBlock","TA","TA","No","LwQ",6.22257646648405,"Unf",0,525,6.93634283301577,"GasA","TA","Y","SBrkr",7.19967842037377,-9.21034037197618,0,7.19967842037377,0,0,1,0,3,1,"TA",6,0,"None","Attchd",1958,"Unf",1,294,"TA","TA","Y",-9.21034037197618,-9.21034037197618,0,0,0,-9.21034037197618,5,2009,"Abnorml",11.8422292128323,51,44,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
21,60,"RL",101,9.56205303111992,"IR1","Corner","NridgHt","Norm","1Fam","2Story",8,5,2005,2006,"Gable","VinylSd","VinylSd","BrkFace",5.94017151587829,"Gd","TA","PConc","Ex","TA","Av","Unf",-9.21034037197618,"Unf",0,1158,7.05444974448872,"GasA","Ex","Y","SBrkr",7.05444974448872,7.10496553037165,0,7.77317372257008,0,0,3,1,4,1,"Gd",9,1,"Gd","BuiltIn",2005,"RFn",3,853,"TA","TA","Y",5.48063934000857,5.03695325176407,0,0,0,-9.21034037197618,11,2006,"Partial",12.6925031127689,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1
22,45,"RM",57,8.9158350876009,"Reg","Inside","IDOTRR","Norm","1Fam","1.5Unf",7,7,1930,1950,"Gable","Wd Sdng","Wd Sdng","None",-9.21034037197618,"TA","TA","PConc","TA","TA","No","Unf",-9.21034037197618,"Unf",0,637,6.45676981255802,"GasA","Ex","Y","FuseF",7.01031195755993,-9.21034037197618,0,7.01031195755993,0,0,1,0,3,1,"Gd",6,1,"Gd","Attchd",1930,"Unf",1,280,"TA","TA","N",-9.21034037197618,-9.21034037197618,205,0,0,-9.21034037197618,6,2007,"Normal",11.8451027780259,77,57,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0
23,20,"RL",75,9.18420172463132,"Reg","Inside","CollgCr","Norm","1Fam","1Story",8,5,2002,2002,"Hip","VinylSd","VinylSd","BrkFace",5.63835502520557,"Gd","TA","PConc","Gd","TA","No","Unf",-9.21034037197618,"Unf",0,1777,7.48268188442927,"GasA","Ex","Y","SBrkr",7.49276035663268,-9.21034037197618,0,7.49276035663268,0,0,2,0,3,1,"Gd",7,1,"Gd","Attchd",2002,"RFn",2,534,"TA","TA","Y",5.14166414129781,5.06890483115085,0,0,0,-9.21034037197618,9,2008,"Normal",12.3458345883401,6,6,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1
24,120,"RM",44,8.34853784906034,"Reg","Inside","MeadowV","Norm","TwnhsE","1Story",5,7,1976,1976,"Gable","CemntBd","CmentBd","None",-9.21034037197618,"TA","TA","PConc","Gd","TA","No","GLQ",6.73340201088497,"Unf",0,200,6.94697608828926,"GasA","TA","Y","SBrkr",6.96602428144573,-9.21034037197618,0,6.96602428144573,1,0,1,0,3,1,"TA",6,1,"TA","Attchd",1976,"Unf",2,572,"TA","TA","Y",4.60517118598759,4.70048127488291,0,0,0,-9.21034037197618,6,2007,"Normal",11.7745202034285,31,31,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0
25,20,"RL",0,9.01748352539394,"IR1","Inside","Sawyer","Norm","1Fam","1Story",5,8,1968,2001,"Gable","Plywood","Plywood","None",-9.21034037197618,"TA","Gd","CBlock","TA","TA","Mn","Rec",5.2364424947447,"ALQ",668,204,6.96602428144573,"GasA","Ex","Y","SBrkr",6.96602428144573,-9.21034037197618,0,6.96602428144573,1,0,1,0,3,1,"Gd",6,1,"TA","Attchd",1968,"Unf",1,270,"TA","TA","Y",6.00635340590712,4.49981078144076,0,0,0,-9.21034037197618,5,2010,"Normal",11.9447078820451,42,9,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0
26,20,"RL",110,9.5631076981113,"Reg","Corner","NridgHt","Norm","1Fam","1Story",8,5,2007,2007,"Gable","VinylSd","VinylSd","Stone",6.46146833260371,"Gd","TA","PConc","Gd","TA","No","Unf",-9.21034037197618,"Unf",0,1566,7.35627994040771,"GasA","Ex","Y","SBrkr",7.37775897072787,-9.21034037197618,0,7.37775897072787,0,0,2,0,3,1,"Gd",7,1,"Gd","Attchd",2007,"RFn",3,890,"TA","TA","Y",-9.21034037197618,4.02535347644784,0,0,0,-9.21034037197618,7,2009,"Normal",12.4541039127423,2,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
27,20,"RL",60,8.88183631889304,"Reg","Corner","NAmes","Norm","1Fam","1Story",5,7,1951,2000,"Gable","Wd Sdng","Wd Sdng","None",-9.21034037197618,"TA","TA","CBlock","TA","TA","Mn","BLQ",5.45532154270804,"Rec",486,180,6.80239487443542,"GasA","TA","Y","SBrkr",6.80239487443542,-9.21034037197618,0,6.80239487443542,0,1,1,0,3,1,"Gd",5,0,"None","Detchd",2005,"Unf",2,576,"TA","TA","Y",5.40267783232263,3.46573902779484,0,0,0,-9.21034037197618,5,2010,"Normal",11.8115474782022,59,10,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0
28,20,"RL",98,9.34818744738063,"Reg","Inside","NridgHt","Norm","1Fam","1Story",8,5,2007,2008,"Gable","VinylSd","VinylSd","Stone",5.29831786654791,"Gd","TA","PConc","Ex","TA","No","GLQ",7.10496553037165,"Unf",0,486,7.44073376607471,"GasA","Ex","Y","SBrkr",7.44073376607471,-9.21034037197618,0,7.44073376607471,1,0,2,0,3,1,"Gd",7,1,"Gd","Attchd",2008,"RFn",3,772,"TA","TA","Y",-9.21034037197618,3.91202500542615,0,0,0,-9.21034037197618,5,2010,"Normal",12.6313403812613,3,2,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1
29,20,"RL",47,9.70020790727777,"IR1","CulDSac","NAmes","Norm","1Fam","1Story",5,6,1957,1997,"Gable","MetalSd","MetalSd","None",-9.21034037197618,"TA","TA","CBlock","TA","TA","Gd","BLQ",7.15226893434107,"Unf",0,207,7.30249649111277,"GasA","TA","Y","SBrkr",7.37775897072787,-9.21034037197618,0,7.37775897072787,1,0,1,0,2,1,"TA",6,2,"Gd","Attchd",1957,"RFn",1,319,"TA","TA","Y",5.66296082735811,5.55295997251844,0,0,0,-9.21034037197618,12,2006,"Normal",12.2428866191348,49,9,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0
30,30,"RM",60,8.75210721414214,"IR1","Inside","BrkSide","Feedr","1Fam","1Story",4,6,1927,1950,"Gable","MetalSd","MetalSd","None",-9.21034037197618,"TA","TA","BrkTil","TA","TA","No","Unf",-9.21034037197618,"Unf",0,520,6.25382900388315,"GasA","Fa","N","SBrkr",6.25382900388315,-9.21034037197618,0,6.25382900388315,0,0,1,0,1,1,"Fa",4,0,"None","Detchd",1920,"Unf",1,240,"Fa","TA","Y",3.89182233892487,-9.21034037197618,87,0,0,-9.21034037197618,5,2008,"Normal",11.1345890257102,81,58,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0
32,20,"RL",0,9.0529845729041,"IR1","CulDSac","Sawyer","Norm","1Fam","1Story",5,6,1966,2006,"Gable","HdBoard","HdBoard","None",-9.21034037197618,"TA","TA","CBlock","TA","TA","No","Unf",-9.21034037197618,"Unf",0,1228,7.11314219014031,"GasA","Gd","Y","SBrkr",7.11314219014031,-9.21034037197618,0,7.11314219014031,0,0,1,1,3,1,"Gd",6,0,"None","Attchd",1966,"Unf",1,271,"TA","TA","Y",-9.21034037197618,4.17438880835599,0,0,0,-9.21034037197618,6,2008,"Normal",11.9140478243138,42,2,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
33,20,"RL",85,9.31009521416377,"Reg","Corner","CollgCr","Norm","1Fam","1Story",8,5,2007,2007,"Gable","VinylSd","VinylSd","None",-9.21034037197618,"Gd","TA","PConc","Ex","TA","Av","Unf",-9.21034037197618,"Unf",0,1234,7.11801628550261,"GasA","Ex","Y","SBrkr",7.11801628550261,-9.21034037197618,0,7.11801628550261,0,0,2,0,3,1,"Gd",7,0,"None","Attchd",2007,"RFn",2,484,"TA","TA","Y",-9.21034037197618,3.40120071498993,0,0,0,-9.21034037197618,1,2008,"Normal",12.1001564204945,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
34,20,"RL",70,9.26407070387403,"IR1","Inside","NAmes","Norm","1Fam","1Story",5,5,1959,1959,"Hip","BrkFace","BrkFace","None",-9.21034037197618,"TA","TA","CBlock","TA","TA","No","Rec",6.92559529534229,"Unf",0,380,7.24279799432451,"GasA","Gd","Y","SBrkr",7.43838358886784,-9.21034037197618,0,7.43838358886784,0,1,1,1,4,1,"Gd",6,1,"Gd","Attchd",1959,"RFn",2,447,"TA","TA","Y",-9.21034037197618,3.63758879130187,0,0,0,-9.21034037197618,4,2010,"Normal",12.0167264744035,51,51,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
35,120,"RL",60,8.89740887894523,"Reg","Inside","NridgHt","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","MetalSd","MetalSd","BrkFace",5.50533194243634,"Ex","TA","PConc","Ex","TA","No","GLQ",7.05012260699932,"Unf",0,408,7.35308198457693,"GasA","Ex","Y","SBrkr",7.35308198457693,-9.21034037197618,0,7.35308198457693,1,0,2,0,2,1,"Ex",6,1,"Gd","Attchd",2005,"Fin",2,556,"TA","TA","Y",5.3132064716525,3.85014972936737,0,0,0,-9.21034037197618,8,2007,"Normal",12.533576212529,2,2,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1
36,60,"RL",108,9.50435237557551,"Reg","Inside","NridgHt","Norm","1Fam","2Story",8,5,2004,2005,"Gable","VinylSd","VinylSd","Stone",4.88280268016184,"Gd","TA","PConc","Ex","TA","Av","Unf",-9.21034037197618,"Unf",0,1117,7.01840188859471,"GasA","Ex","Y","SBrkr",7.03174134710235,7.18538709133799,0,7.80465933783914,0,0,3,1,4,1,"Gd",9,1,"Gd","BuiltIn",2004,"Fin",3,691,"TA","TA","Y",4.7273887036677,3.46573902779484,0,0,0,-9.21034037197618,9,2006,"Normal",12.6410965562035,2,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1
37,20,"RL",112,9.29274951742585,"Reg","Corner","CollgCr","Norm","1Fam","1Story",5,5,1994,1995,"Gable","VinylSd","VinylSd","None",-9.21034037197618,"TA","TA","PConc","Gd","TA","No","Unf",-9.21034037197618,"Unf",0,1097,7.00033455143293,"GasA","Ex","Y","SBrkr",7.00033455143293,-9.21034037197618,0,7.00033455143293,0,0,1,1,3,1,"TA",6,0,"None","Attchd",1995,"Unf",2,672,"TA","TA","Y",5.97126209489247,4.15888464585845,0,0,0,-9.21034037197618,6,2009,"Normal",11.8844890220924,15,14,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0
38,20,"RL",74,9.05157909131182,"Reg","Inside","NAmes","Norm","1Fam","1Story",5,6,1954,1990,"Hip","Wd Sdng","Wd Sdng","BrkFace",6.47697251673582,"TA","TA","CBlock","TA","TA","No","Rec",7.10085199138428,"Unf",0,84,7.16780926141744,"GasA","Gd","Y","SBrkr",7.16780926141744,-9.21034037197618,0,7.16780926141744,0,1,1,0,3,1,"TA",5,1,"TA","Attchd",1954,"Fin",2,498,"TA","TA","Y",-9.21034037197618,-9.21034037197618,0,0,0,-9.21034037197618,10,2009,"Normal",11.9381932010282,55,19,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
39,20,"RL",68,8.97739899080494,"Reg","Inside","NAmes","Norm","1Fam","1Story",5,7,1953,2007,"Gable","VinylSd","VinylSd","None",-9.21034037197618,"TA","Gd","CBlock","TA","TA","No","GLQ",6.59441359654867,"Unf",0,326,6.96319008047761,"GasA","TA","Y","SBrkr",6.96319008047761,-9.21034037197618,0,6.96319008047761,1,0,1,0,3,1,"Gd",5,0,"None","Detchd",1953,"Unf",1,246,"TA","TA","Y",-9.21034037197618,3.9512456416565,0,0,0,-9.21034037197618,1,2010,"Abnorml",11.5991031621287,57,3,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0
40,90,"RL",65,8.70615930748515,"Reg","Inside","Edwards","Norm","Duplex","1Story",4,5,1955,1955,"Gable","AsbShng","Plywood","None",-9.21034037197618,"TA","TA","PConc","None","None","None","None",-9.21034037197618,"None",0,0,-9.21034037197618,"GasA","TA","N","FuseP",7.04925492806139,-9.21034037197618,0,7.04925492806139,0,0,2,0,2,2,"Fa",6,0,"None","None",0,"None",0,0,"None","None","N",-9.21034037197618,-9.21034037197618,0,0,0,-9.21034037197618,6,2008,"AdjLand",11.3144745274659,53,53,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
41,20,"RL",84,9.06623903955194,"Reg","Inside","NAmes","Norm","1Fam","1Story",6,5,1965,1965,"Gable","Wd Sdng","Wd Sdng","BrkFace",4.61512150693978,"TA","TA","CBlock","TA","TA","No","Rec",6.4661448797586,"Unf",0,445,6.99209651932765,"GasA","Ex","Y","SBrkr",7.18841281202565,-9.21034037197618,0,7.18841281202565,0,0,2,0,3,1,"TA",6,1,"TA","Attchd",1965,"RFn",2,440,"TA","TA","Y",-9.21034037197618,4.92725440979462,0,0,0,-9.21034037197618,12,2006,"Abnorml",11.982929094841,41,41,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
